skill_uri,skill_label,russian,skill_category
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,Haskell,knowledge
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft scientific or academic papers and technical documentation,подготовка научных или академических работ и технической документации,skill/competence
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,incremental development,постепенное развитие,knowledge
http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,guarantee customer satisfaction,гарантия удовлетворенности клиентов,skill/competence
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,KDevelop,knowledge
http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,develop blockchain innovative architectures,разработка инновационных архитектур блокчейна,skill/competence
http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,keep up to date on product knowledge,поддержание актуальных знаний о продуктах,skill/competence
http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,network engineering,сетевая инженерия,knowledge
http://data.europa.eu/esco/skill/0207f83d-a1e4-4b47-b80c-84d41257791f,analyse the artistic concept based on stage actions,анализировать художественную концепцию на основе действий на сцене,skill/competence
http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate existing data,мигрировать существующие данные,skill/competence
http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supplies,управлять поставками,skill/competence
http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,define database physical structure,определять физическую структуру базы данных,skill/competence
http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,Maltego,knowledge
http://data.europa.eu/esco/skill/02c7caf4-4e8b-4745-8917-dbbd3af17c28,draw up artistic production,составлять художественные произведения,skill/competence
http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,Эрланг,knowledge
http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,manage ICT data classification,управлять классификацией данных ИКТ,skill/competence
http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,create solutions to problems,создавать решения проблем,skill/competence
http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,information structure,информационная структура,knowledge
http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,язык SAS,knowledge
http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,use an application-specific interface,использовать интерфейс для конкретного приложения,skill/competence
http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,define firewall rules,определять правила брандмауэра,skill/competence
