institution.name,specialty.name,program.name,degree,program.link
ЮЗГУ,Конструирование и технология электронных средств (11.03.03),Проектирование и технологи электронных средств,Бакалавр,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/1089/
ЮЗГУ,Машиностроение (15.03.01),Оборудование и технология сварочного производства,Бакалавр,https://kursk.postupi.online/vuz/mtf-yuzgu/programma/378/
КГУ,Техносферная безопасность (20.03.01),Пожарная безопасность природно-техногенной сферы,Академический бакалавр,https://kursk.postupi.online/vuz/industrial-kgu-kursk/programma/959/
ЮЗГУ,Техносферная безопасность (20.03.01),Безопасность жизнедеятельности в техносфере,Бакалавр,https://kursk.postupi.online/vuz/mtf-yuzgu/programma/6213/
ЮЗГУ,Землеустройство и кадастры (21.03.02),Городской кадастр,Бакалавр,https://kursk.postupi.online/vuz/fsa-yuzgu/programma/928/
ЮЗГУ,Машиностроение (15.03.01),"Технология, оборудование и автоматизация машиностроительных производств",Бакалавр,https://kursk.postupi.online/vuz/mtf-yuzgu/programma/1944/
ЮЗГУ,Теплоэнергетика и теплотехника (13.03.01),Промышленная теплоэнергетика,Бакалавр,https://kursk.postupi.online/vuz/fsa-yuzgu/programma/876/
Филиал МИЭП в Курске,Менеджмент (38.03.02),Управление проектами,Бакалавр,https://kursk.postupi.online/vuz/filial-miep-kursk/programma/566/
Курский институт кооперации (филиал) БУКЭП,Экономика (38.03.01),Финансовые технологии в цифровой экономике,Бакалавр,https://kursk.postupi.online/vuz/ekonomicheskij-fakultet-kurskij-institut-kooperacii-bukep/programma/14828/
Курский филиал Финансового университета,Менеджмент (38.03.02),Менеджмент и управление бизнесом,Бакалавр,https://kursk.postupi.online/vuz/kurskij-filial-finuniversiteta/programma/2574/
ЮЗГУ,Менеджмент (38.03.02),Управление бизнесом,Бакалавр,https://kursk.postupi.online/vuz/feim-yuzgu/programma/2574/
КГУ,Международные отношения (41.03.05),Международные отношения: история и современность,Академический бакалавр,https://kursk.postupi.online/vuz/istoricheskij-fakultet-kgu-kursk/programma/863/
КГУ,Педагогическое образование (44.03.01),Информатика,Прикладной бакалавр,https://kursk.postupi.online/vuz/fmi-kgu-kursk/programma/460/
КГУ,Педагогическое образование (с двумя профилями подготовки) (44.03.05),Иностранный язык (английский) и Иностранный язык (немецкий/французский),Прикладной бакалавр,https://kursk.postupi.online/vuz/inyaz-kgu-kursk/programma/1880/
Курский филиал Финансового университета,Бизнес-информатика (38.03.05),ИТ-менеджмент в бизнесе (с применением ДОТ),Бакалавр,https://kursk.postupi.online/vuz/kurskij-filial-finuniversiteta/programma/6881/
КГУ,Педагогическое образование (с двумя профилями подготовки) (44.03.05),Русский язык и Литература,Прикладной бакалавр,https://kursk.postupi.online/vuz/filfak-kgu-kursk/programma/482/
КГУ,Музыкально-инструментальное искусство (53.03.02),Исполнительство на музыкальных инструментах: оркестровые струнные инструменты,Бакалавр,https://kursk.postupi.online/vuz/iskusstv-i-art-pedagogiki-kgu-kursk/programma/3335/
КГУ,Социология (39.03.01),Социология социокультурных изменений,Академический бакалавр,https://kursk.postupi.online/vuz/filosofii-i-sociologii-kgu-kursk/programma/6826/
КГУ,Юриспруденция (40.03.01),Гражданское право и гражданский процесс,Академический бакалавр,https://kursk.postupi.online/vuz/yurfak-kgu-kursk/programma/4385/
КГУ,Юриспруденция (40.03.01),"Судебная, правоохранительная и адвокатская деятельность",Академический бакалавр,https://kursk.postupi.online/vuz/yurfak-kgu-kursk/programma/5639/
КГУ,Педагогическое образование (44.03.01),Физическая культура,Прикладной бакалавр,https://kursk.postupi.online/vuz/fizkultury-i-sporta-kgu-kursk/programma/376/
КГУ,Государственное и муниципальное управление (38.03.04),Государственная и муниципальная служба,Бакалавр,https://kursk.postupi.online/vuz/institut-ekonomiki-i-upravleniya-kgu-kursk/programma/576/
КГУ,Психология (37.03.01),Психология. Социальная психология,Академический бакалавр,https://kursk.postupi.online/vuz/pedagogiki-i-psihologii-kgu-kursk/programma/3288/
КГУ,Педагогическое образование (44.03.01),Изобразительное искусство,Прикладной бакалавр,https://kursk.postupi.online/vuz/iskusstv-i-art-pedagogiki-kgu-kursk/programma/543/
КГУ,Профессиональное обучение (по отраслям) (44.03.04),Автотранспорт,Академический бакалавр,https://kursk.postupi.online/vuz/industrial-kgu-kursk/programma/6352/
КГУ,Психолого-педагогическое образование (44.03.02),Специальная психология,Бакалавр,https://kursk.postupi.online/vuz/pedagogiki-i-psihologii-kgu-kursk/programma/4981/
