profession,f1_accessibility,f2_routineness,f3_delegability
Специалист по клиентскому сервису,9,9,7
SMM-менеджер,10,7,7
Инженер-сметчик,9,9,5
Бухгалтер,8,9,5
Веб-разработчик (frontend-разработчик),10,6,6
Переводчик,10,6,6
Разработчик приложений,10,6,6
Инженер 3d моделирования,9,7,5
Менеджер по закупкам,8,8,5
Редактор,10,6,5
Логист,8,8,4
Программист (backend-разработчик),10,5,5
Проектировщик интерфейсов (дизайн пользовательского интерфейса),9,5,6
Религиовед,8,5,7
Художник- иллюстратор,10,3,7
Маркетолог,8,6,5
Менеджер по туризму (тур-менеджер),7,7,5
Системный аналитик,9,5,5
Сценарист,10,2,7
PR менеджер/специалист по связям с общественностью.,8,5,5
Дата-сайентист (Аналитик больших данных),7,8,3
Инженер-метролог,6,8,4
Инженер-схемотехник,8,6,4
Историк,8,4,6
Менеджер по продажам (продавец),5,7,6
Политолог,8,4,6
Системный администратор,7,7,4
Социолог-аналитик,8,5,5
Экономист,8,6,4
Бренд-менеджер,7,4,6
Гидрометеоролог,6,7,4
Государственный/муниципальный служащий,6,8,3
Инженер по контролю качества,5,8,4
Инженер- технолог в области легкой промышленности,5,7,5
Инженер-конструктор,7,6,4
Специалист по машинному обучению,9,4,4
Бизнес-аналитик,7,5,4
Журналист,7,5,4
Искусствовед,7,3,6
Менеджер по обучению и развитию персонала,6,5,5
Финансовый консультант,8,6,2
Event менеджер,4,5,6
Арт-менеджер,5,4,6
Архитектор программного обеспечения,9,3,3
Инженер-радиотехник,5,6,4
Инженер-технолог,4,7,4
Нотариус,5,9,1
Промышленный дизайнер,6,4,5
Специалист по кибербезопасности,8,5,2
Химик-аналитик,3,8,4
Юрист,7,5,3
Инженер по охране труда,5,7,2
Инженер-робототехник,5,5,4
Провизор,4,8,2
Специалист по экономической безопасности,6,6,2
Экскурсовод,2,5,7
Генетик,5,5,3
Геофизик,4,5,4
Инженер композитных материалов,4,5,4
Инженер по автоматизации,4,5,4
Инженер-механик,3,6,4
Микробиолог,3,6,4
Специалист в области гостиничного и ресторанного бизнеса,2,6,5
Специалист по международным отношениям,6,4,3
Телерадиоведущий,3,5,5
Эпидемиолог,6,5,2
Агроинженер,3,5,4
Адвокат,6,4,2
Актер,3,2,7
Геодезист,2,6,4
Инженер по защите окружающей среды,4,5,3
Наноинженер,4,4,4
Сурдопереводчик,3,5,4
Фитнес-тренер,2,6,4
Биоинженер,3,4,4
Биохимик,3,4,4
Врач-терапевт,3,6,2
Инженер по переработке нефти и газа,3,6,2
Инженер-энергетик,3,6,2
Педагог,3,5,3
Режиссер-постановщик,3,2,6
Специалист по пожарной безопасности,3,7,1
Специалист по социальной работе,3,5,3
Ветеринарный врач,2,5,3
Инженер-конструктор робототехники военного назначения,5,4,1
Инженер-проектировщик оружия,5,4,1
Инженер-электрик,2,6,2
Психолог-консультант,4,3,3
Судья,5,4,1
Военный журналист,3,3,3
Врач-стоматолог,1,6,2
Дефектолог,2,4,3
Инженер по эксплуатации систем вооружения,2,6,1
Инженер-строитель,2,5,2
Разработчик киберпротезов и имплантов,5,3,1
Следователь,3,5,1
Клинический психолог,3,3,2
Дипломат,3,2,2
Реставратор архитектурных объектов,1,3,3
Хирург,1,4,1
